{'topK': 180, 'alpha': 0.37856296613742724}
topK,alpha,result
190.0,0.4347744219486382,0.1420183261646152
175.0,0.5957021636255081,0.13952004896287928
136.0,0.3959861002022164,0.14123872344823707
184.0,0.40955511039097914,0.1425276590461838
196.0,0.3837687317412358,0.14256605546603657
222.0,0.35396255741106253,0.14128771627188405
178.0,0.3889261284188376,0.1423833491825524
169.0,0.3754357315932179,0.14160293396975374
186.0,0.4756373474977459,0.14145133084775371
203.0,0.36982860073243634,0.1423364820946604
191.0,0.40421089566048496,0.14271689207948549
183.0,0.3954469729673798,0.14273076856368175
172.0,0.3814488864992977,0.14202064785308732
177.0,0.17616360210355203,0.14025986780388539
188.0,0.3613052042488364,0.1425623776978918
181.0,0.3896016193464634,0.14279771150816808
195.0,0.4136541049257587,0.1426774134803962
185.0,0.3769805666432388,0.1426281774502544
192.0,0.4021034186868254,0.14253271135851905
179.0,0.3878744578892302,0.14264632147931308
183.0,0.3277761431328117,0.14215645971105773
174.0,0.36622433373810453,0.1419414702472548
188.0,0.3786943437579744,0.14271585322634475
180.0,0.3958867289710464,0.14251304505648382
189.0,0.3741730862511296,0.14256069537360355
199.0,0.49394443251078435,0.14213421251623126
184.0,0.3481576024998515,0.1421658198913287
176.0,0.38408224819280035,0.14220159673945593
193.0,0.40152715314186627,0.14281084934005558
186.0,0.35998418375482844,0.1424927345171182
181.0,0.1640541792983217,0.14031627018540918
171.0,0.445688031527189,0.14144939726145925
190.0,0.392663742401328,0.14289481423416164
178.0,0.3698823918791699,0.142653919114331
165.0,0.3861220749164215,0.14146885567776565
183.0,0.3774458139817179,0.1425135829022068
187.0,0.2602132276180884,0.1417051620258615
175.0,0.4159973422679424,0.14188218291097976
194.0,0.4084907270005526,0.1428298966645603
181.0,0.4681519900527256,0.1411236696457926
186.0,0.3955301775592664,0.1425469432143363
190.0,0.38426153459850587,0.1427942666927705
177.0,0.29611599032484565,0.141821554307764
182.0,0.3685356576957497,0.14261577902071315
172.0,0.3774558382345294,0.14196396585288332
157.0,0.35131582399254396,0.14135214406160387
197.0,0.513235365265541,0.14110653894555183
186.0,0.21700210466559192,0.14110432733009307
179.0,0.3916620766817778,0.14254380952069812
192.0,0.44690135369419093,0.1422786261491957
184.0,0.404507021260289,0.14246897684725654
188.0,0.27020042603394157,0.14162989901371248
